description,attendees,category,duration,budget,staff
Course en plein air avec environ 575 participants en plein air,575,sport,6.63,51175,19
Compétition régionale avec environ 577 participants en plein air,577,sport,3.34,57123,19
Tournoi de football avec environ 600 participants en plein air,600,sport,5.53,47400,20
Tournoi de football avec environ 437 participants en plein air,437,sport,5.83,35397,14
Match sportif avec environ 776 participants en plein air,776,sport,5.17,62856,25
Course en plein air avec environ 297 participants en plein air,297,sport,4.56,37422,9
Compétition régionale avec environ 401 participants en plein air,401,sport,6.53,30476,13
Course en plein air avec environ 423 participants en plein air,423,sport,6.34,39762,14
Compétition régionale avec environ 669 participants en plein air,669,sport,5.15,70914,22
Course en plein air avec environ 601 participants en plein air,601,sport,3.56,62504,20
Tournoi de football avec environ 477 participants en plein air,477,sport,3.04,34344,15
Tournoi de football avec environ 31 participants en plein air,31,sport,6.76,3472,2
Compétition régionale avec environ 377 participants en plein air,377,sport,5.55,38831,12
Match sportif avec environ 731 participants en plein air,731,sport,6.64,79679,24
Compétition régionale avec environ 774 participants en plein air,774,sport,6.87,76626,25
Événement caritatif avec environ 705 participants en plein air,705,charity,5.07,88125,23
Action associative avec environ 345 participants en plein air,345,charity,5.68,24840,11
Gala humanitaire avec environ 593 participants en plein air,593,charity,6.33,50998,19
Événement caritatif avec environ 386 participants en plein air,386,charity,3.86,30880,12
Action associative avec environ 313 participants en plein air,313,charity,3.64,28483,10
Événement caritatif avec environ 349 participants en plein air,349,charity,5.9,37692,11
Action associative avec environ 456 participants en plein air,456,charity,5.65,39216,15
Action associative avec environ 126 participants en plein air,126,charity,3.79,8694,4
Collecte de dons avec environ 767 participants en plein air,767,charity,4.14,93574,25
Événement caritatif avec environ 715 participants en plein air,715,charity,3.96,92950,23
Action associative avec environ 685 participants en plein air,685,charity,3.41,82885,22
Collecte de dons avec environ 249 participants en plein air,249,charity,5.45,24900,8
Gala humanitaire avec environ 146 participants en plein air,146,charity,3.16,11680,4
Événement caritatif avec environ 478 participants en plein air,478,charity,5.44,42064,15
Événement caritatif avec environ 655 participants en plein air,655,charity,3.83,85150,21
Collecte de dons avec environ 323 participants en plein air,323,charity,6.81,33269,10
Gala humanitaire avec environ 708 participants en plein air,708,charity,3.26,65136,23
Collecte de dons avec environ 657 participants en plein air,657,charity,6.63,44676,21
Collecte de dons avec environ 406 participants en plein air,406,charity,5.27,45066,13
Gala humanitaire avec environ 130 participants en plein air,130,charity,3.87,14950,4
Événement caritatif avec environ 721 participants en plein air,721,charity,3.46,51191,24
Gala humanitaire avec environ 23 participants en plein air,23,charity,4.6,2438,2
Événement caritatif avec environ 776 participants en plein air,776,charity,4.94,55096,25
Collecte de dons avec environ 510 participants en plein air,510,charity,6.28,37230,17
Collecte de dons avec environ 642 participants en plein air,642,charity,4.62,66768,21
Événement caritatif avec environ 234 participants en plein air,234,charity,6.45,14742,7
Événement caritatif avec environ 120 participants en plein air,120,charity,5.04,10200,4
Collecte de dons avec environ 305 participants en plein air,305,charity,5.13,23180,10
Événement caritatif avec environ 244 participants en plein air,244,charity,3.24,17568,8
Gala humanitaire avec environ 574 participants en plein air,574,charity,5.27,47642,19
Événement caritatif avec environ 643 participants en plein air,643,charity,3.02,66229,21
Collecte de dons avec environ 225 participants en plein air,225,charity,5.03,18675,7
Gala humanitaire avec environ 535 participants en plein air,535,charity,3.94,62595,17
Gala humanitaire avec environ 572 participants en plein air,572,charity,3.91,68068,19
Événement caritatif avec environ 263 participants en plein air,263,charity,4.22,31560,8
Événement caritatif avec environ 319 participants en plein air,319,charity,6.88,20735,10
Événement caritatif avec environ 478 participants en plein air,478,charity,4.09,53536,15
Gala humanitaire avec environ 20 participants en plein air,20,charity,5.23,2420,2
Collecte de dons avec environ 309 participants en plein air,309,charity,6.27,27501,10
Action associative avec environ 678 participants en plein air,678,charity,4.73,52884,22
Action associative avec environ 178 participants en plein air,178,charity,5.97,17800,5
Événement caritatif avec environ 206 participants en plein air,206,charity,3.69,23690,6
Gala humanitaire avec environ 259 participants en plein air,259,charity,5.36,30303,8
Action associative avec environ 187 participants en plein air,187,charity,5.71,11220,6
Gala humanitaire avec environ 380 participants en plein air,380,charity,4.91,25840,12
Gala humanitaire avec environ 160 participants en plein air,160,charity,4.84,19040,5
Action associative avec environ 246 participants en plein air,246,charity,6.82,25830,8
Collecte de dons avec environ 107 participants en plein air,107,charity,6.86,13589,3
Événement caritatif avec environ 333 participants en plein air,333,charity,4.94,20979,11
Événement caritatif avec environ 383 participants en plein air,383,charity,4.1,43662,12
Collecte de dons avec environ 310 participants en plein air,310,charity,5.52,31930,10
Événement caritatif avec environ 603 participants en plein air,603,charity,4.82,58491,20
Collecte de dons avec environ 481 participants en plein air,481,charity,6.89,37037,16
Action associative avec environ 737 participants en plein air,737,charity,5.56,68541,24
Événement caritatif avec environ 277 participants en plein air,277,charity,5.35,28254,9
Action associative avec environ 240 participants en plein air,240,charity,4.84,24720,8
Événement caritatif avec environ 782 participants en plein air,782,charity,6.14,71944,26
Gala humanitaire avec environ 76 participants en plein air,76,charity,4.24,5244,2
Événement caritatif avec environ 613 participants en plein air,613,charity,4.73,74173,20
Événement caritatif avec environ 57 participants en plein air,57,charity,4.68,7296,2
